State,Month,Pollutant,API Level
Kedah,2024-09,Ground-level Ozone(O3),31.6
Kedah,2024-10,Particulate Matter(PM),0.76
Kedah,2024-10,Carbon  Monoxide(CO),32
Kedah,2024-10,Nitrogen Dioxide(NO2),6
Kedah,2024-10,Sulfur Dioxide(SO2),37
Kedah,2024-10,Volatie Organic Compounds(VOCs),34
Kedah,2024-10,Ground-level Ozone(O3),37
Kedah,2024-11,Particulate Matter(PM),29.2
Kedah,2024-11,Carbon  Monoxide(CO),0.69
Kedah,2024-11,Nitrogen Dioxide(NO2),29
Kedah,2024-11,Sulfur Dioxide(SO2),5
Kedah,2024-11,Volatie Organic Compounds(VOCs),42
Kedah,2024-11,Ground-level Ozone(O3),38
Kedah,2024-12,Particulate Matter(PM),31.2
Kedah,2024-12,Carbon  Monoxide(CO),0.63
Kedah,2024-12,Nitrogen Dioxide(NO2),29
Kedah,2024-12,Sulfur Dioxide(SO2),6
Kedah,2024-12,Volatie Organic Compounds(VOCs),39
Kedah,2024-12,Ground-level Ozone(O3),37
Kelantan,2024-01,Particulate Matter(PM),27.2
Kelantan,2024-01,Carbon  Monoxide(CO),0.64
Kelantan,2024-01,Nitrogen Dioxide(NO2),21
Kelantan,2024-01,Sulfur Dioxide(SO2),6
Kelantan,2024-01,Volatie Organic Compounds(VOCs),44
Kelantan,2024-01,Ground-level Ozone(O3),35
Kelantan,2024-02,Particulate Matter(PM),31.1
Kelantan,2024-02,Carbon  Monoxide(CO),0.71
Kelantan,2024-02,Nitrogen Dioxide(NO2),25
Kelantan,2024-02,Sulfur Dioxide(SO2),6
Kelantan,2024-02,Volatie Organic Compounds(VOCs),42
Kelantan,2024-02,Ground-level Ozone(O3),34
Kelantan,2024-03,Particulate Matter(PM),31.9
Kelantan,2024-03,Carbon  Monoxide(CO),0.76
Kelantan,2024-03,Nitrogen Dioxide(NO2),26
Kelantan,2024-03,Sulfur Dioxide(SO2),6
Kelantan,2024-03,Volatie Organic Compounds(VOCs),53
Kelantan,2024-03,Ground-level Ozone(O3),38
Kelantan,2024-04,Particulate Matter(PM),29.9
Kelantan,2024-04,Carbon  Monoxide(CO),0.75
Kelantan,2024-04,Nitrogen Dioxide(NO2),23
Kelantan,2024-04,Sulfur Dioxide(SO2),5
Kelantan,2024-04,Volatie Organic Compounds(VOCs),47
Kelantan,2024-04,Ground-level Ozone(O3),36
Kelantan,2024-05,Particulate Matter(PM),31.1
Kelantan,2024-05,Carbon  Monoxide(CO),0.83
Kelantan,2024-05,Nitrogen Dioxide(NO2),23
Kelantan,2024-05,Sulfur Dioxide(SO2),7
Kelantan,2024-05,Volatie Organic Compounds(VOCs),49
Kelantan,2024-05,Ground-level Ozone(O3),37
Kelantan,2024-06,Particulate Matter(PM),31.8
Kelantan,2024-06,Carbon  Monoxide(CO),0.8
Kelantan,2024-06,Nitrogen Dioxide(NO2),24
Kelantan,2024-06,Sulfur Dioxide(SO2),6
Kelantan,2024-06,Volatie Organic Compounds(VOCs),34
Kelantan,2024-06,Ground-level Ozone(O3),31
Kelantan,2024-07,Particulate Matter(PM),39.2
Kelantan,2024-07,Carbon  Monoxide(CO),0.96
Kelantan,2024-07,Nitrogen Dioxide(NO2),28
Kelantan,2024-07,Sulfur Dioxide(SO2),5
Kelantan,2024-07,Volatie Organic Compounds(VOCs),44
Kelantan,2024-07,Ground-level Ozone(O3),39
Kelantan,2024-08,Particulate Matter(PM),38
Kelantan,2024-08,Carbon  Monoxide(CO),0.89
Kelantan,2024-08,Nitrogen Dioxide(NO2),29
Kelantan,2024-08,Sulfur Dioxide(SO2),6
Kelantan,2024-08,Volatie Organic Compounds(VOCs),43
Kelantan,2024-08,Ground-level Ozone(O3),34
Kelantan,2024-09,Particulate Matter(PM),38.8
Kelantan,2024-09,Carbon  Monoxide(CO),0.92
Kelantan,2024-09,Nitrogen Dioxide(NO2),29
Kelantan,2024-09,Sulfur Dioxide(SO2),6
Kelantan,2024-09,Volatie Organic Compounds(VOCs),43
Kelantan,2024-09,Ground-level Ozone(O3),35
Kelantan,2024-10,Particulate Matter(PM),32
Kelantan,2024-10,Carbon  Monoxide(CO),0.85
Kelantan,2024-10,Nitrogen Dioxide(NO2),28
Kelantan,2024-10,Sulfur Dioxide(SO2),5
Kelantan,2024-10,Volatie Organic Compounds(VOCs),44
Kelantan,2024-10,Ground-level Ozone(O3),33
Kelantan,2024-11,Particulate Matter(PM),31.9
Kelantan,2024-11,Carbon  Monoxide(CO),0.72
Kelantan,2024-11,Nitrogen Dioxide(NO2),22
Kelantan,2024-11,Sulfur Dioxide(SO2),5
Kelantan,2024-11,Volatie Organic Compounds(VOCs),42
Kelantan,2024-11,Ground-level Ozone(O3),36
Kelantan,2024-12,Particulate Matter(PM),32.7
Kelantan,2024-12,Carbon  Monoxide(CO),0.8
Kelantan,2024-12,Nitrogen Dioxide(NO2),29
Kelantan,2024-12,Sulfur Dioxide(SO2),6
Kelantan,2024-12,Volatie Organic Compounds(VOCs),46
Kelantan,2024-12,Ground-level Ozone(O3),34
Melaka,2024-01,Particulate Matter(PM),22
Melaka,2024-01,Carbon  Monoxide(CO),0.75
Melaka,2024-01,Nitrogen Dioxide(NO2),22
Melaka,2024-01,Sulfur Dioxide(SO2),5
Melaka,2024-01,Volatie Organic Compounds(VOCs),46
Melaka,2024-01,Ground-level Ozone(O3),39
Melaka,2024-02,Particulate Matter(PM),19.5
Melaka,2024-02,Carbon  Monoxide(CO),0.88
Melaka,2024-02,Nitrogen Dioxide(NO2),19
Melaka,2024-02,Sulfur Dioxide(SO2),5
Melaka,2024-02,Volatie Organic Compounds(VOCs),44
Melaka,2024-02,Ground-level Ozone(O3),39
Melaka,2024-03,Particulate Matter(PM),20.7
Melaka,2024-03,Carbon  Monoxide(CO),0.75
Melaka,2024-03,Nitrogen Dioxide(NO2),16
Melaka,2024-03,Sulfur Dioxide(SO2),3
Melaka,2024-03,Volatie Organic Compounds(VOCs),50
Melaka,2024-03,Ground-level Ozone(O3),44
Melaka,2024-04,Particulate Matter(PM),22.9
Melaka,2024-04,Carbon  Monoxide(CO),0.8
Melaka,2024-04,Nitrogen Dioxide(NO2),18
Melaka,2024-04,Sulfur Dioxide(SO2),5
Melaka,2024-04,Volatie Organic Compounds(VOCs),54
Melaka,2024-04,Ground-level Ozone(O3),44
Melaka,2024-05,Particulate Matter(PM),26.4
Melaka,2024-05,Carbon  Monoxide(CO),0.84
Melaka,2024-05,Nitrogen Dioxide(NO2),21
Melaka,2024-05,Sulfur Dioxide(SO2),5
Melaka,2024-05,Volatie Organic Compounds(VOCs),50
Melaka,2024-05,Ground-level Ozone(O3),41
Melaka,2024-06,Particulate Matter(PM),24.8
Melaka,2024-06,Carbon  Monoxide(CO),0.97
Melaka,2024-06,Nitrogen Dioxide(NO2),23
Melaka,2024-06,Sulfur Dioxide(SO2),6
Melaka,2024-06,Volatie Organic Compounds(VOCs),46
Melaka,2024-06,Ground-level Ozone(O3),41
Melaka,2024-07,Particulate Matter(PM),24.4
Melaka,2024-07,Carbon  Monoxide(CO),0.93
Melaka,2024-07,Nitrogen Dioxide(NO2),20
Melaka,2024-07,Sulfur Dioxide(SO2),5
Melaka,2024-07,Volatie Organic Compounds(VOCs),44
Melaka,2024-07,Ground-level Ozone(O3),41
Melaka,2024-08,Particulate Matter(PM),31.8
Melaka,2024-08,Carbon  Monoxide(CO),1.11
Melaka,2024-08,Nitrogen Dioxide(NO2),24
Melaka,2024-08,Sulfur Dioxide(SO2),5
Melaka,2024-08,Volatie Organic Compounds(VOCs),46
Melaka,2024-08,Ground-level Ozone(O3),39
Melaka,2024-09,Particulate Matter(PM),28.2
Melaka,2024-09,Carbon  Monoxide(CO),1.13
Melaka,2024-09,Nitrogen Dioxide(NO2),22
Melaka,2024-09,Sulfur Dioxide(SO2),6
Melaka,2024-09,Volatie Organic Compounds(VOCs),39
Melaka,2024-09,Ground-level Ozone(O3),35
Melaka,2024-10,Particulate Matter(PM),29
Melaka,2024-10,Carbon  Monoxide(CO),0.91
Melaka,2024-10,Nitrogen Dioxide(NO2),20
Melaka,2024-10,Sulfur Dioxide(SO2),3
Melaka,2024-10,Volatie Organic Compounds(VOCs),44
Melaka,2024-10,Ground-level Ozone(O3),41
Melaka,2024-11,Particulate Matter(PM),24.3
Melaka,2024-11,Carbon  Monoxide(CO),0.77
Melaka,2024-11,Nitrogen Dioxide(NO2),23
Melaka,2024-11,Sulfur Dioxide(SO2),5
Melaka,2024-11,Volatie Organic Compounds(VOCs),47
Melaka,2024-11,Ground-level Ozone(O3),38
Melaka,2024-12,Particulate Matter(PM),21.7
Melaka,2024-12,Carbon  Monoxide(CO),0.79
Melaka,2024-12,Nitrogen Dioxide(NO2),23
Melaka,2024-12,Sulfur Dioxide(SO2),5
Melaka,2024-12,Volatie Organic Compounds(VOCs),46
Melaka,2024-12,Ground-level Ozone(O3),40
Negeri Sembilan,2024-01,Particulate Matter(PM),28.9
Negeri Sembilan,2024-01,Carbon  Monoxide(CO),0.75
Negeri Sembilan,2024-01,Nitrogen Dioxide(NO2),23
Negeri Sembilan,2024-01,Sulfur Dioxide(SO2),6
Negeri Sembilan,2024-01,Volatie Organic Compounds(VOCs),43
Negeri Sembilan,2024-01,Ground-level Ozone(O3),31
Negeri Sembilan,2024-02,Particulate Matter(PM),23.5
Negeri Sembilan,2024-02,Carbon  Monoxide(CO),0.73
Negeri Sembilan,2024-02,Nitrogen Dioxide(NO2),23
Negeri Sembilan,2024-02,Sulfur Dioxide(SO2),4
Negeri Sembilan,2024-02,Volatie Organic Compounds(VOCs),42
Negeri Sembilan,2024-02,Ground-level Ozone(O3),32
Negeri Sembilan,2024-03,Particulate Matter(PM),24.9
Negeri Sembilan,2024-03,Carbon  Monoxide(CO),0.67
Negeri Sembilan,2024-03,Nitrogen Dioxide(NO2),21
Negeri Sembilan,2024-03,Sulfur Dioxide(SO2),4
Negeri Sembilan,2024-03,Volatie Organic Compounds(VOCs),48
Negeri Sembilan,2024-03,Ground-level Ozone(O3),39
Negeri Sembilan,2024-04,Particulate Matter(PM),24.6
Negeri Sembilan,2024-04,Carbon  Monoxide(CO),0.71
Negeri Sembilan,2024-04,Nitrogen Dioxide(NO2),22
Negeri Sembilan,2024-04,Sulfur Dioxide(SO2),5
Negeri Sembilan,2024-04,Volatie Organic Compounds(VOCs),53
Negeri Sembilan,2024-04,Ground-level Ozone(O3),42
Negeri Sembilan,2024-05,Particulate Matter(PM),28.8
Negeri Sembilan,2024-05,Carbon  Monoxide(CO),0.65
Negeri Sembilan,2024-05,Nitrogen Dioxide(NO2),21
Negeri Sembilan,2024-05,Sulfur Dioxide(SO2),3
Negeri Sembilan,2024-05,Volatie Organic Compounds(VOCs),52
Negeri Sembilan,2024-05,Ground-level Ozone(O3),36
Negeri Sembilan,2024-06,Particulate Matter(PM),28.2
Negeri Sembilan,2024-06,Carbon  Monoxide(CO),0.72
Negeri Sembilan,2024-06,Nitrogen Dioxide(NO2),20
Negeri Sembilan,2024-06,Sulfur Dioxide(SO2),5
Negeri Sembilan,2024-06,Volatie Organic Compounds(VOCs),43
Negeri Sembilan,2024-06,Ground-level Ozone(O3),32
Negeri Sembilan,2024-07,Particulate Matter(PM),30.2
Negeri Sembilan,2024-07,Carbon  Monoxide(CO),0.84
Negeri Sembilan,2024-07,Nitrogen Dioxide(NO2),25
Negeri Sembilan,2024-07,Sulfur Dioxide(SO2),6
Negeri Sembilan,2024-07,Volatie Organic Compounds(VOCs),46
Negeri Sembilan,2024-07,Ground-level Ozone(O3),35
Negeri Sembilan,2024-08,Particulate Matter(PM),33.2
Negeri Sembilan,2024-08,Carbon  Monoxide(CO),0.85
Negeri Sembilan,2024-08,Nitrogen Dioxide(NO2),22
Negeri Sembilan,2024-08,Sulfur Dioxide(SO2),5
Negeri Sembilan,2024-08,Volatie Organic Compounds(VOCs),43
Negeri Sembilan,2024-08,Ground-level Ozone(O3),32
Negeri Sembilan,2024-09,Particulate Matter(PM),32.8
Negeri Sembilan,2024-09,Carbon  Monoxide(CO),0.9
Negeri Sembilan,2024-09,Nitrogen Dioxide(NO2),24
Negeri Sembilan,2024-09,Sulfur Dioxide(SO2),5
Negeri Sembilan,2024-09,Volatie Organic Compounds(VOCs),43
Negeri Sembilan,2024-09,Ground-level Ozone(O3),33
Negeri Sembilan,2024-10,Particulate Matter(PM),27.8
Negeri Sembilan,2024-10,Carbon  Monoxide(CO),0.71
Negeri Sembilan,2024-10,Nitrogen Dioxide(NO2),24
Negeri Sembilan,2024-10,Sulfur Dioxide(SO2),5
Negeri Sembilan,2024-10,Volatie Organic Compounds(VOCs),43
Negeri Sembilan,2024-10,Ground-level Ozone(O3),32
Negeri Sembilan,2024-11,Particulate Matter(PM),26.2
Negeri Sembilan,2024-11,Carbon  Monoxide(CO),0.72
Negeri Sembilan,2024-11,Nitrogen Dioxide(NO2),24
Negeri Sembilan,2024-11,Sulfur Dioxide(SO2),5
Negeri Sembilan,2024-11,Volatie Organic Compounds(VOCs),52
Negeri Sembilan,2024-11,Ground-level Ozone(O3),40
Negeri Sembilan,2024-12,Particulate Matter(PM),25.7
Negeri Sembilan,2024-12,Carbon  Monoxide(CO),0.64
Negeri Sembilan,2024-12,Nitrogen Dioxide(NO2),19
Negeri Sembilan,2024-12,Sulfur Dioxide(SO2),5
Negeri Sembilan,2024-12,Volatie Organic Compounds(VOCs),43
Negeri Sembilan,2024-12,Ground-level Ozone(O3),31
Pahang,2024-01,Particulate Matter(PM),27.3
Pahang,2024-01,Carbon  Monoxide(CO),0.5
Pahang,2024-01,Nitrogen Dioxide(NO2),25
